"Type","ID","Original Name","Localized Name","English Translated Name","First Name (Original)","Last Name (Original)","First Name (Localized)","Last Name (Localized)","Gender","Localization Issues","Cultural Status","Localization Reason","Description","ROW_TYPE","VERIF_STATUS","ISSUE_COUNT","C0_CRITICAL_ISSUES","C1_CHARACTER_ISSUES","C2_CONTENT_ISSUES","C3_FORMAT_ISSUES","SUGGESTED_FIXES"
"Character","char_112","tom kaiser","thomas lempereur","Tom Kaiser","tom","kaiser","thomas","lempereur","Male","CROSS_CHARACTER_INCONSISTENCY: The character 'Tom Kaiser' is localized as 'Thomas Lempereur' to align with the Kaiser family's localization ('Lempereur'). However, in entity localizations (e.g., entity_210, entity_211), the same character, referred to as 'Tom Lennon', is localized as 'Thomas Lemoine'. This creates two different French surnames for the same character, causing identity confusion. + affected mentions: tom kaiser (Severity: high)","LOCALIZED","The original last name 'kaiser' was inconsistently mapped to both 'lempereur' (for the main Kaiser family) and 'lemoine' (for this character). This created a one-to-many error. To enforce a strict 1:1 mapping ('kaiser' -\> 'lempereur') and maintain family consistency (Rule 5), Tom Kaiser's last name has been corrected to 'lempereur', aligning him with all other members of the Kaiser family. The mention map has been updated to reflect this change.","He is Sophia's biological brother and Emily's adoptive brother. His surname is inferred to be Kaiser, aligning him with Sophia and Viktor's family. A key past event involving his imprisonment is a major source of the Kaiser family's animosity towards Emily, with Sophia specifically asserting Emily's responsibility for his incarceration.","MAIN","WARN","2","","[first_name_collision] Localised first name 'thomas' shared with: char_34, char_97.","","[capitalisation] Localized name 'thomas lempereur' starts with lowercase.","Consider differentiating to avoid reader confusion."
"Character","char_12","john","jean","John","john","","jean","","Male","","LOCALIZED","'Jean' is the quintessential French equivalent of 'John'. As the character is only known by his first name and serves a functional role as a manager, a simple, common French name is most appropriate.","The General Manager ('Geschäftsführer') at the Kaiser Konzern is sycophantic towards the new power structure of Sophia and Jacob, while displaying open condescension and cruelty towards Emily. He takes pleasure in informing her that she has been fired from her project and her office reassigned. He also appears in a panic to inform Viktor Kaiser of the disastrous business consequences following the bidding scandal, including the loss of multiple major contracts. Additionally, he reports on the public scandal involving Emily and the police's official cover story.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'jean' starts with lowercase.",""
"Character","char_13","martin","martin","Martin","martin","","martin","","Male","","ORIGINAL","The name 'Martin' is extremely common in France as both a first and last name. Therefore, no localization is necessary for this minor character mentioned only by this name.","An individual connected to the Kaiser Konzern, whose ""new season collection"" is referenced by Viktor Kaiser as a demeaning, beginner-level assignment. This project is intended for Emily, to be offered after her primary assignment is removed, thereby underscoring the significant decline in her standing with her father. He is identified only once by his first name.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'martin' starts with lowercase.",""
"Character","char_14","ethan williams","ethan moreau","Ethan Williams","ethan","williams","ethan","moreau","Male","","MIXED","The first name 'Ethan' is retained as it is a popular contemporary name in France, suiting a modern, international character. 'Williams' is localized to 'Moreau,' a very common and classic French surname, to firmly ground the character in the French setting. His alias 'Storm' is translated to 'Orage', preserving its powerful and dramatic connotation.","Ethan Williams is a central, enigmatic, and exceptionally attractive male protagonist, appearing to be in his mid-to-late twenties. He is Emily's husband through a contract marriage, which is initially kept secret.  **Identity & Background:** His full, true name is Ethan Williams, a powerful heir to the Williams dynasty, described as one of the most influential families in the US with vast wealth. The name Williams is of Welsh/English origin, setting him apart from the German-named Kaiser family. Ethan is also connected to the Storm family through his mother, whose family name is Storm. He is identified as the scion of the Storm family, which has a bitter history with the Kaiser and Miller families due to past betrayals. His grandfather is Richard Storm. Due to these family connections, ""Ethan Storm"" is sometimes used as an alias or cover identity, particularly in certain circles or for anonymity; his assistant, Felix, and a salon owner refer to him as ""Mr. Storm,"" and the antagonist Viktor also uses this name. Conversely, his staff, such as Felix and Bertha, and business associates formally address him as ""Mr. Williams."" Emily sometimes refers to him affectionately or sarcastically as ""Ehemann"" (husband), or internally as ""Mr. Big-Money,"" and he gives her a business card with only the initial ""E."" He is the CEO of the powerful Omini Corporation (also referred to as Omnicorp or Omni-Konzern) and the head of an international corporation. While primarily operating from the Omnicorp building, he is also referred to in one instance as a lawyer ('Anwalt').  **Appearance & Lifestyle:** Ethan presents a commanding and handsome appearance. Despite his immense personal wealth, he sometimes maintains a frugal public persona, such as driving a Honda and living in a relatively modest house, though he later acquires a new, luxurious residence called Riverside Mansion. In private, he has a refined taste for luxury, evidenced by bespoke suits, a premium credit card with a very high limit, knowledge of expensive Japanese knives ('Kato-San'), and an insistence on freshly prepared, high-quality food. He lives a minimalist lifestyle, described as 'obszön reich' (obscenely rich). He owns a pet Ragdoll cat named Toffee. He has a sensitive stomach and cannot tolerate spicy food, a weakness Emily exploits.  **Personality & Demeanor:** Ethan consistently presents a cold, controlled, emotionally distant, and inscrutable exterior, often speaking in a commanding tone and appearing to enjoy unsettling Emily. He is frequently described as arrogant, cynical, harsh, intimidating, possessive, authoritative, and having a volatile temper. His personality is even described as 'düster' (gloomy/dark). This demeanor stems from deep-seated trust issues rooted in his mother's manipulation of his father. He is driven by a desire to settle 'old debts' related to his Storm family history and a promise made to his deceased mother, which appears to involve a union with the Kaiser family, leading him to agree to the contract marriage with Emily as an opportunity for revenge. He values loyalty above all else.  **Relationship with Emily:** Their contractual marriage is initially secret, and he is portrayed as Emily's mysterious, powerful husband. *   **Initial Treatment & Control:** He initially treats Emily with disdain, communicating through icy commands and referring to her role as his 'Köchin' (cook) or 'Haushälterin' (housekeeper). He insists their marriage isn't real and wants her to move out, engaging in petty power plays like making her eat bland food as a 'punishment'. He is accustomed to being in control and intensely suspicious of her relationships with other men. When Emily decides to leave him, he reacts with cruelty and contempt, accusing her of using him and leveraging past actions, such as saving her, as manipulation. He struggles with his feelings for her, alternating between possessiveness, fascination, and intense rage when he feels betrayed. *   **Hidden Care & Protectiveness:** Despite his harsh exterior, Ethan frequently displays moments of unexpected support, fierce protectiveness, and even tenderness. He unexpectedly defends her against antagonists in public, using his influence to humiliate them, and rescues her from an assault, brutally punishing her attacker. He orchestrates complex plans to restore her reputation, secure her company a major project bid, and exact revenge on those who wronged her (e.g., having a former colleague's hands broken, orchestrating Patrick Sawyer's downfall, providing Emily with evidence). He shows private admiration for her talent and resilience, seeing in her the same ambition that drives him. He comforts her during nightmares, subtly encourages her to take care of her health, helps her with menstrual cramps, and hires the best lawyer for her case. He becomes frantic with worry when she is missing, installs a tracking app on her phone for her safety, and ultimately saves her life, sustaining a serious injury in the process. He secretly finishes her design work to prevent her from overworking, though he claims a friend did it. He also displays subtle acts of care, such as waiting up for her, defending her from teasing, trusting her with his premium credit card, ordering five-star cuisine, and secretly turning up the lobby heating for her comfort. When Emily bites his cheek during an argument, he tries to hide the mark with a mask at work. He feels guilt over his harshness after learning she is broke and homeless, which culminates in him defending her from public humiliation. *   **Possessiveness & Conflict:** He is intensely possessive and jealous of other men in Emily's life, including Jacob and Sebastian. He gets into physical fights to assert his claim, becomes enraged upon seeing Emily's injuries, and crashes her lunch with Sebastian. He displays a volatile temper, once smashing his friend Daniel's phone in a fit of rage. After being drugged (by Lena, though he initially blames Emily), his past trauma is triggered, causing him to react with extreme cruelty towards Emily, including forcing her under a cold shower and verbally abusing her. When he sees a video of Sebastian claiming to be Emily's boyfriend, he feels betrayed and decides to divorce her, coldly stating she is 'dead to him.' However, when Emily requests a divorce, he is shocked and hurt, believing it's a game, and ultimately refuses, threatening to extend their marriage contract and using threats and manipulation to control her. He manipulates Emily into dependence, such as having his assistant lie to her and making her wait for hours at his office before presenting her with a restrictive 'Marriage and Cohabitation Agreement,' culminating in him kissing her after she signs. *   **Emotional Complexity & Growth:** Despite his coldness, his actions—such as waiting for her, getting angry when another man drops her off, and reacting strongly to her paying him back—suggest deep-seated, unresolved feelings. His friend Daniel often points out that his anger is a sign he still cares. He is shown to be deeply affected by her suffering and misses her presence (and cooking) when she is gone. While he struggles with expressing emotions and is unable to apologize directly, he displays moments of vulnerability and regret, and even apologizes to her on a rare occasion.  **Relationships with Others:** His best friend and business partner is Daniel Kelly, who often carries out his commands and teases him about his hidden feelings for Emily. He has a circle of close friends including Chester, Rodney, and Daniel. His assistant, Felix, is loyal. Ethan is cousins with both Jacob and Sebastian Langston, but holds strong disdain for Emily's family, the Kaisers.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'ethan moreau' starts with lowercase.",""
"Character","char_16","michael harrington","michel d'harcourt","Michael Harrington","michael","harrington","michel","d'harcourt","Male","","LOCALIZED","'Michel' is the standard French form of 'Michael'. The surname 'Harrington' is replaced with 'd'Harcourt', a French name with an aristocratic particule ('d''), which effectively conveys the character's described high social status and respected nature in a French context.","Michael Harrington, primarily referred to as Michael, is a wealthy and well-respected man with connections to the influential Kaiser family. He and Emily share a history, having known each other since their university days. Michael consistently demonstrates a chivalrous and protective nature towards Emily, notably rescuing her from harassers and driving her to a hotel. He further defends her in a private group chat, where his sober authority effectively silences gossip. Lena perceives him as handsome, principled, and uninterested in elite drama, and speculates that he may harbor romantic feelings for Emily.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'michel d'harcourt' starts with lowercase.",""
"Character","char_17","ruth martin","ruth martin","Ruth Martin","ruth","martin","ruth","martin","Female","","ORIGINAL","The first name 'Ruth', while Hebrew in origin, is used in France. The surname 'Martin' is one of the most common in France. As the combination is plausible and doesn't feel out of place, the name is kept as is, aligning with the strategy to create authentic and contemporary characters.","Ruth Martin is a malicious, arrogant, and condescending socialite from a wealthy ""Californian elite"" family. She serves as one of Emily's primary antagonists and is a key ally to Sophia. Ruth is consistently described as calculated, manipulative, and vindictive, frequently attempting to use her social standing to bully both Emily and Lena.  Ruth harbors a deep, long-standing jealousy of Emily's past success and beauty. This is compounded by a grudge stemming from a past public humiliation at a restaurant where Ethan had Ruth, Sophia, and Adriana removed. Her family's company is struggling, and it has been alleged that she bribed her way through school. She is the only daughter of the Martin family and the sister of Stephen Martin, whom Sophia seeks to get closer to through Ruth.  Ruth is central to numerous antagonistic actions against Emily: *   She initiates Emily's public shaming by circulating a photo of Emily at a cheap motel in an ""elite group chat"" and leading the subsequent mockery. *   She acts as a key instigator in a direct confrontation at a restaurant, using her social standing and alliance with Sophia to further humiliate Emily. *   She masterminds a more extreme attack by contacting Zayn Larson and proposing a plan to assault Emily on a livestream, believing it would satisfy them both. This plan ultimately fails when Zayn is arrested. *   She, along with Adriana, confronts Emily in a high-end boutique, questioning Emily's presence and making snide remarks about her social standing, even as she shops for her brother. *   She collaborates with Sophia on a real estate project that is beneficial to Jacob's company. *   She supports Sophia's smear campaign against Emily and Jacob by liking and sharing Sophia's malicious social media posts.  Ruth's influence is notable; Sophia strategically mentions Ruth in a manipulative attempt to blame Emily for Kaiser Konzern's business troubles, highlighting Ruth's perceived power as ""the only daughter of the Martin family.""  She is referred to by her first name, ""Ruth,"" her full name, ""Ruth Martin,"" and formally as ""Miss Martin."" The title ""Mrs. Martin"" has also been used, though ""Miss Martin"" is more common given her context.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'ruth martin' starts with lowercase.",""
"Character","char_18","adriana baker","adriana boulanger","Adriana Baker","adriana","baker","adriana","boulanger","Female","","MIXED","The first name 'Adriana' is common in France and requires no change. Following the strategy's rule for occupational surnames, 'Baker' is translated to its direct French equivalent, 'Boulanger', a very common surname.","Adriana is a singer and a former best friend of Emily and Lena, who transforms into an antagonist following Emily's fall from grace. Emily was instrumental in launching Adriana's career, providing her with music industry connections and writing her early songs. Emily reflects on their once very close bond, noting she was the one who introduced Adriana to Jacob.  However, Adriana betrays their friendship for social advancement, seemingly relishing her newfound social superiority after previously being overshadowed by wealthier friends. She aligns herself with Emily's rivals, Ruth and Sophia, and Jacob, often lying to avoid meeting Emily.  Adriana consistently acts antagonistically towards Emily. In a direct confrontation, she coldly dismisses Emily, stating she ""can't stick with losers."" Alongside Ruth, she publicly humiliates Emily in a luxury boutique, mocking her perceived financial decline. At an engagement party, she maliciously puts Emily on the spot by taking the microphone and asking for her ""blessing"" to further humiliate her. As a celebrity associate of Sophia, Adriana leverages her public status to amplify Sophia's false accusations against Emily, mobilizing criticism and ""pouring oil on the fire"" of the social media scandal.  She is referred to as 'Adriana' by her former friends and in narration. She is also formally addressed as 'Miss Baker' by a star-struck restaurant manager and a saleswoman, revealing her last name.  Adriana is mentioned by Sophia as a powerful individual Emily has supposedly alienated, a detail that forms part of Sophia's calculated lie to portray Emily as reckless and responsible for the family's misfortunes. She was present with Sophia and Ruth during a past confrontation with Ethan at a restaurant. During another confrontation with Emily and Lena, Adriana, as an associate of Ruth and Sophia, is quickly intimidated and silenced when Ethan threatens to expose 'certain indiscreet photos' of her, implying a scandalous past. She is the first of the three women to retreat during this encounter. Emily also lists Adriana among her enemies, indicating the extent of their fractured relationship.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'adriana boulanger' starts with lowercase.",""
"Character","char_19","andrew","andré","Andrew","andrew","","andré","","Male","","LOCALIZED","'André' is the classic and direct French equivalent of the name 'Andrew'.","Andrew, also referred to as Mr. Andrew by characters, is the sycophantic manager of the upscale restaurant that serves as the primary location for the initial confrontations and much of the public conflict. Initially polite and deferential, particularly to high-status patrons like Ruth's group, he nonetheless allows his staff to act aggressively towards Emily and Lena. His demeanor shifts significantly when confronted by other powerful figures. He becomes intimidated by the status of Sophia Kaiser and her companions, caving to their pressure and lying about Emily and Lena's reservation to assign their table to Sophia's group. Following this, his attitude towards Emily and Lena turns contemptuous; he insults their social 'caliber' before ordering their physical removal from the premises. Later, he becomes terrified and obsequious upon the arrival of the even more powerful Ethan and Daniel Kelly.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'andré' starts with lowercase.",""
"Character","char_20","julia","julie","Julia","julia","","julie","","Female","","LOCALIZED","'Julie' is the standard French form of 'Julia' and a very common name in France.","Julia is a minor character and a member of the 'elite group chat.' She contributes to the mockery of Emily's downfall with a catty comment regarding Emily's loss of her management position at the Kaiser Konzern.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'julie' starts with lowercase.",""
"Character","char_21","peter","pierre","Peter","peter","","pierre","","Male","","LOCALIZED","'Pierre' is the direct and classic French equivalent of 'Peter'.","Peter is a minor character known only by his first name. He appears in the elite group chat where Emily is being mocked, interjecting to comment on Michael's defense of Emily. He specifically expresses surprise, noting that Michael's involvement in such matters is uncharacteristic.","MAIN","PASS (name casing)","1","","","","[capitalisation] Localized name 'pierre' starts with lowercase.",""
